,Network Name,Layer Number,Context Ratio,pCon1,pConRel,Context Error Bars,Category Ratio,pCat1,pCatRel,Category Error Bars,pConVCat,Confounds Removed,AlexNet,AlexNet_Places365,GoogLeNet,GRCNN55,ResNet101,ResNet152,ResNet18,ResNet18_Places365,ResNet50,ResNet50_Places365,Resnext50_32x4d,Vgg16,Vgg19,0,2,5,7,10,12,14,17,19,21,24,26,28
85,ResNet18,8.0,1.010485938588203,0.4534278110474765,0.3109175986285412,0.0138151735651171,1.2284458646339664,4.787060212054092e-20,8.032279691077737e-21,0.0212845228023881,9.60964640261761e-10,True,,,,,,,,,,,,,,,,,,,,,,,,,,
86,ResNet18,9.0,1.002983466594025,0.0137582792343172,0.0127837405777021,0.0011732585280301,1.0220939110008835,2.5021857514017817e-39,1.7654636872798845e-39,0.0012082308924572,5.072404108027404e-19,True,,,,,,,,,,,,,,,,,,,,,,,,,,
87,ResNet18_Places365,0.0,0.9999999690994368,0.996752801102302,0.9971713174796014,7.514381552473296e-06,1.0000034004483715,0.4253901258468537,0.4243776088224807,4.239378711188689e-06,0.4743247034990712,True,,,,,,,,,,,,,,,,,,,,,,,,,,
88,ResNet18_Places365,1.0,1.0157673819322772,1.7328925038979048e-05,1.0706175452229695e-05,0.0034002574158631,1.0389904260778648,3.5686654285567584e-30,4.5128980583360127e-32,0.0026679835209823,1.6277175460313809e-06,True,,,,,,,,,,,,,,,,,,,,,,,,,,
89,ResNet18_Places365,2.0,1.0130051939254712,5.300707336179455e-06,3.3519077861865265e-06,0.0026252661286691,1.0314787191020411,2.1631310781388783e-34,1.31636797346285e-35,0.0019341418947298,1.820986001160857e-07,True,,,,,,,,,,,,,,,,,,,,,,,,,,
90,ResNet18_Places365,3.0,1.0129646975363389,4.249846717501918e-06,2.716031466327834e-06,0.0025867569735574,1.0313282621671884,1.9067765893950523e-34,1.0571705897825068e-35,0.0019223124345213,1.358624157688589e-07,True,,,,,,,,,,,,,,,,,,,,,,,,,,
91,ResNet18_Places365,4.0,1.0129646975363389,4.249846717501918e-06,2.716031466327834e-06,0.0025867569735574,1.0313282621671884,1.9067765893950523e-34,1.0571705897825068e-35,0.0019223124345213,1.358624157688589e-07,True,,,,,,,,,,,,,,,,,,,,,,,,,,
92,ResNet18_Places365,5.0,1.0317466668281672,0.0001180228357086,4.785903232654133e-05,0.0077418087428321,1.0937668619292102,1.3938156893697512e-36,1.504618457189799e-38,0.0054650132392404,3.853902424001365e-09,True,,,,,,,,,,,,,,,,,,,,,,,,,,
93,ResNet18_Places365,6.0,1.04581249522583,0.0002337010032207,7.596397765619434e-05,0.0117445704392735,1.228557581435754,1.6223433235808686e-55,6.499862373113776e-59,0.0089208578756633,6.90398980169699e-17,True,,,,,,,,,,,,,,,,,,,,,,,,,,
94,ResNet18_Places365,7.0,1.1167131124612537,1.484114303482062e-05,4.848059347493219e-06,0.0249434829167005,1.6234619251818458,2.1968454338837168e-60,2.5586159285700417e-69,0.0221763325316729,1.4948763373014402e-20,True,,,,,,,,,,,,,,,,,,,,,,,,,,
95,ResNet18_Places365,8.0,1.210395822859894,9.96677926052802e-06,1.5946517862605977e-06,0.0439589432260483,2.185851292305995,2.762751859957457e-44,2.7387553037870614e-72,0.0581372170863282,4.2095339073861963e-19,True,,,,,,,,,,,,,,,,,,,,,,,,,,
96,ResNet18_Places365,9.0,1.155202291177381,2.0067949491157488e-05,2.9247108289454087e-06,0.0337602518382134,1.877818729277047,2.6015964138643328e-39,1.675880102627937e-71,0.0480230066278232,2.189372875018729e-17,True,,,,,,,,,,,,,,,,,,,,,,,,,,
97,ResNet50,0.0,0.9999999690994368,0.996752801102302,0.9971713174796014,7.514381552473296e-06,1.0000034004483715,0.4253901258468537,0.4243776088224807,4.239378711188689e-06,0.4743247034990712,True,,,,,,,,,,,,,,,,,,,,,,,,,,
98,ResNet50,1.0,1.029815693000402,0.0001908490071167,7.49149885279048e-05,0.0075280884642094,1.081279786713253,7.134097203563874e-27,2.9403155902997023e-30,0.0060928941584273,7.510668943439545e-06,True,,,,,,,,,,,,,,,,,,,,,,,,,,
99,ResNet50,2.0,1.0199540628548764,0.0449246570309735,0.0218477066022967,0.0097097546660006,1.1307552922855724,2.1126798954739515e-43,9.516883580165979e-48,0.0065333445489647,2.804833217400138e-11,True,,,,,,,,,,,,,,,,,,,,,,,,,,
100,ResNet50,3.0,1.019965869214366,0.0448716290200262,0.0218226331105565,0.0097130260458737,1.1308023167272088,2.121883647285857e-43,9.49539313268772e-48,0.0065359608853755,2.8180773053964914e-11,True,,,,,,,,,,,,,,,,,,,,,,,,,,
101,ResNet50,4.0,1.019965869214366,0.0448716290200262,0.0218226331105565,0.0097130260458737,1.1308023167272088,2.121883647285857e-43,9.49539313268772e-48,0.0065359608853755,2.8180773053964914e-11,True,,,,,,,,,,,,,,,,,,,,,,,,,,
102,ResNet50,5.0,1.0185123062344346,0.0011846816617362,0.0006877129917832,0.0054441581770493,1.0888871930445363,1.0527990559392034e-49,1.4353709580371742e-51,0.0038928408185099,1.25207700830501e-13,True,,,,,,,,,,,,,,,,,,,,,,,,,,
103,ResNet50,6.0,1.0243236807848417,0.0118065881395509,0.0073857274265347,0.0093498860269755,1.1585408557221213,5.9659410208383175e-50,3.149576129001865e-53,0.006908720151715,1.2035410528390012e-15,True,,,,,,,,,,,,,,,,,,,,,,,,,,
104,ResNet50,7.0,1.0726765212374838,0.005881736228057,0.004261632162041,0.0254256613473312,1.6588605270749597,3.075905057832615e-56,4.6322221315529374e-60,0.0253594945870016,1.706699199408736e-20,True,,,,,,,,,,,,,,,,,,,,,,,,,,
105,ResNet50,8.0,1.0069153096889318,0.0095970775295961,0.0086771299732464,0.002580787468106,1.0693108259822008,1.7798958679817498e-48,5.678912971014444e-48,0.003112494865022,7.420251357773585e-22,True,,,,,,,,,,,,,,,,,,,,,,,,,,
